[Connect DataFile][1.1]
Date:	6/3/2025
Time:	12:08:27.815
Unit:	°C
Resolution:	0.037037037037037
Values:	1
Time	Area 1	
00:00:32.777	177.9	
00:00:32.814	177.9	
00:00:32.851	178.1	
00:00:32.888	178.8	
00:00:32.925	178.4	
00:00:32.962	178.4	
00:00:33.000	178.6	
00:00:33.037	179.3	
00:00:33.074	179.3	
00:00:33.111	179.1	
00:00:33.148	179.1	
00:00:33.185	179.1	
00:00:33.222	180.0	
00:00:33.259	179.6	
00:00:33.296	179.8	
00:00:33.333	179.8	
00:00:33.370	180.3	
00:00:33.407	180.3	
00:00:33.444	180.3	
00:00:33.481	180.3	
00:00:33.518	181.0	
00:00:33.555	180.5	
00:00:33.592	180.5	
00:00:33.629	180.5	
00:00:33.666	181.0	
00:00:33.703	181.0	
00:00:33.740	181.5	
00:00:33.777	181.2	
00:00:33.814	181.2	
00:00:33.851	181.2	
00:00:33.888	181.2	
00:00:33.925	181.2	
00:00:33.962	181.2	
00:00:34.000	181.2	
00:00:34.037	181.2	
00:00:34.074	181.2	
00:00:34.111	181.2	
00:00:34.148	181.2	
00:00:34.185	181.2	
00:00:34.222	181.2	
00:00:34.259	181.2	
00:00:34.296	181.2	
00:00:34.333	181.2	
00:00:34.370	181.2	
00:00:34.407	181.2	
00:00:34.444	181.2	
00:00:34.481	181.2	
00:00:34.518	181.2	
00:00:34.555	181.2	
00:00:34.592	181.2	
00:00:34.629	181.2	
00:00:34.666	181.2	
00:00:34.703	181.2	
00:00:34.740	181.2	
00:00:34.777	181.2	
00:00:34.814	181.2	
00:00:34.851	181.2	
00:00:34.888	186.1	
00:00:34.925	186.8	
00:00:34.962	186.4	
00:00:35.000	186.8	
00:00:35.037	186.8	
00:00:35.074	186.8	
00:00:35.111	186.8	
00:00:35.148	186.8	
00:00:35.185	187.8	
00:00:35.222	187.8	
00:00:35.259	187.1	
00:00:35.296	187.8	
00:00:35.333	187.8	
00:00:35.370	187.8	
00:00:35.407	187.8	
00:00:35.444	188.2	
00:00:35.481	188.2	
00:00:35.518	188.0	
00:00:35.555	188.0	
00:00:35.592	188.0	
00:00:35.629	188.4	
00:00:35.666	188.2	
00:00:35.703	188.4	
00:00:35.740	188.4	
00:00:35.777	188.2	
00:00:35.814	188.2	
00:00:35.851	189.4	
00:00:35.888	189.1	
00:00:35.925	190.0	
00:00:35.962	189.4	
00:00:36.000	189.4	
00:00:36.037	189.1	
00:00:36.074	189.1	
00:00:36.111	189.4	
00:00:36.148	189.4	
00:00:36.185	189.4	
00:00:36.222	190.3	
00:00:36.259	189.6	
00:00:36.296	190.3	
00:00:36.333	190.3	
00:00:36.370	190.0	
00:00:36.407	190.0	
00:00:36.444	190.5	
00:00:36.481	190.0	
00:00:36.518	190.0	
00:00:36.555	190.0	
00:00:36.592	190.3	
00:00:36.629	191.2	
00:00:36.666	190.7	
00:00:36.703	190.7	
00:00:36.740	191.2	
00:00:36.777	191.2	
00:00:36.814	191.2	
00:00:36.851	191.2	
00:00:36.888	191.6	
00:00:36.925	191.2	
00:00:36.962	191.6	
00:00:37.000	191.4	
00:00:37.037	191.6	
00:00:37.074	191.6	
00:00:37.111	191.6	
00:00:37.148	191.4	
00:00:37.185	191.8	
00:00:37.222	192.3	
00:00:37.259	192.1	
00:00:37.296	192.3	
00:00:37.333	192.3	
00:00:37.370	192.3	
00:00:37.407	192.1	
00:00:37.444	192.3	
00:00:37.481	192.3	
00:00:37.518	192.5	
00:00:37.555	192.5	
00:00:37.592	193.0	
00:00:37.629	193.4	
00:00:37.666	193.0	
00:00:37.703	193.2	
00:00:37.740	193.4	
00:00:37.777	193.2	
00:00:37.814	193.2	
00:00:37.851	193.6	
00:00:37.888	194.3	
00:00:37.925	194.3	
00:00:37.962	193.6	
00:00:38.000	193.8	
00:00:38.037	193.8	
00:00:38.074	194.3	
00:00:38.111	193.6	
00:00:38.148	193.8	
00:00:38.185	193.8	
00:00:38.222	194.3	
00:00:38.259	194.3	
00:00:38.296	194.3	
00:00:38.333	194.3	
00:00:38.370	194.5	
00:00:38.407	194.5	
00:00:38.444	194.5	
00:00:38.481	194.7	
00:00:38.518	194.7	
00:00:38.555	194.5	
